epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8452,1.56722,3.06981,1.80655,0.00333,1,0.01336,0.00595,1.58278,3.20671,2.05814,0.0001,0.0001,0.0001
2,111.488,1.42165,2.85944,1.72792,0.00333,1,0.05332,0.02432,1.34128,2.99616,1.72834,0.000215644,0.000215644,0.000215644
3,159.587,1.10074,2.60256,1.44602,0.00341,1,0.2106,0.093,1.26388,2.72747,1.64768,0.000326536,0.000326536,0.000326536
4,219.157,0.91883,2.34002,1.31283,0.14353,0.45455,0.23724,0.15548,1.33174,2.49137,1.85894,0.000432676,0.000432676,0.000432676
5,277.288,0.81866,2.07307,1.2242,0.41548,0.51837,0.40515,0.27263,1.26919,2.18807,1.84454,0.000534064,0.000534064,0.000534064
6,338.883,0.80891,1.74803,1.2245,0.49537,0.62541,0.42975,0.30752,1.11196,1.79878,1.75856,0.0006307,0.0006307,0.0006307
7,393.658,0.74877,1.37499,1.183,0.61215,0.7181,0.62622,0.37727,0.97321,1.71962,1.63024,0.000722584,0.000722584,0.000722584
8,457.027,0.74126,1.19023,1.16026,0.63475,0.81818,0.74942,0.4748,1.03004,1.58879,1.66443,0.000809716,0.000809716,0.000809716
9,520.297,0.78503,1.08879,1.24603,0.81742,0.81435,0.8178,0.50754,1.05214,1.35781,1.59784,0.000892096,0.000892096,0.000892096
10,584.433,0.72633,1.01723,1.1499,0.87489,0.72727,0.76986,0.43825,1.04493,1.5191,1.55672,0.000969724,0.000969724,0.000969724
11,632.952,0.74736,0.95681,1.16932,0.86183,0.72727,0.76575,0.44637,1.01913,1.50896,1.49365,0.0010426,0.0010426,0.0010426
12,684.34,0.68664,0.84154,1.09582,0.83162,0.90909,0.8095,0.52745,1.03408,1.25304,1.51817,0.00111072,0.00111072,0.00111072
13,733.811,0.73853,0.93814,1.14789,0.82575,0.90909,0.83568,0.55694,0.91254,1.24188,1.41031,0.0011741,0.0011741,0.0011741
14,783.634,0.69584,0.81573,1.13601,0.90713,0.88945,0.9032,0.60466,0.94763,1.28037,1.37942,0.00123272,0.00123272,0.00123272
15,834.906,0.70543,0.83927,1.117,1,0.88708,0.9325,0.58004,0.96916,1.30999,1.40926,0.00128658,0.00128658,0.00128658
16,888.521,0.60775,0.71264,1.06464,0.97764,0.90909,0.935,0.64277,0.89284,1.14302,1.4153,0.0013357,0.0013357,0.0013357
17,946.287,0.62943,0.71198,1.0683,0.92941,0.90909,0.971,0.69124,0.86221,1.09107,1.42047,0.0013664,0.0013664,0.0013664
18,1000.97,0.59908,0.69869,1.08604,0.83168,0.89915,0.84874,0.66004,0.83143,1.02385,1.38762,0.0013268,0.0013268,0.0013268
19,1071.54,0.68569,0.6993,1.07763,0.8086,0.81818,0.83908,0.64303,0.87939,0.96823,1.41182,0.0012872,0.0012872,0.0012872
20,1129.53,0.63842,0.67905,1.06482,0.91621,0.99452,0.9725,0.72151,0.86722,0.85767,1.37734,0.0012476,0.0012476,0.0012476
21,1184.25,0.62216,0.67908,1.0806,0.9882,0.90909,0.98115,0.74047,0.79236,0.85053,1.23044,0.001208,0.001208,0.001208
22,1241.54,0.62007,0.72536,1.08532,1,0.89442,0.9545,0.73566,0.70926,0.88916,1.10775,0.0011684,0.0011684,0.0011684
23,1297.05,0.65051,0.74733,1.07753,1,0.88084,0.935,0.71239,0.69901,0.93307,1.10956,0.0011288,0.0011288,0.0011288
24,1353.39,0.6186,0.66095,1.07102,0.90681,0.88633,0.92982,0.68871,0.71496,0.85649,1.15183,0.0010892,0.0010892,0.0010892
25,1408.82,0.53486,0.56842,0.98899,0.89817,0.90909,0.9349,0.72024,0.70333,0.84027,1.17098,0.0010496,0.0010496,0.0010496
26,1460.8,0.57092,0.56288,1.03126,0.91736,0.90909,0.93329,0.74608,0.65539,0.85804,1.12,0.00101,0.00101,0.00101
27,1507.35,0.66276,0.64419,1.08769,0.9834,0.90909,0.9248,0.74577,0.66625,0.90798,1.13113,0.0009704,0.0009704,0.0009704
28,1552.47,0.55738,0.5582,1.02443,1,0.89506,0.91173,0.66387,0.83196,1.06349,1.24659,0.0009308,0.0009308,0.0009308
29,1597.07,0.61398,0.64226,1.05467,0.97346,0.90909,0.91119,0.64538,0.86676,1.12995,1.29127,0.0008912,0.0008912,0.0008912
30,1640.85,0.51844,0.54168,1.0012,1,0.88124,0.91089,0.61797,0.86382,1.22728,1.28285,0.0008516,0.0008516,0.0008516
31,1683.17,0.59523,0.57198,1.0172,0.90251,0.90909,0.90312,0.59259,0.86958,1.24559,1.29041,0.000812,0.000812,0.000812
32,1727.04,0.58839,0.53962,1.06318,0.88169,0.81818,0.8716,0.56192,0.94301,1.23096,1.33682,0.0007724,0.0007724,0.0007724
33,1768.97,0.5186,0.53245,1.00167,0.8982,0.80349,0.88079,0.57363,0.93844,1.20419,1.34019,0.0007328,0.0007328,0.0007328
34,1811.28,0.58934,0.56741,1.04061,0.87396,0.72727,0.82001,0.56018,0.91008,1.25608,1.31542,0.0006932,0.0006932,0.0006932
35,1854.19,0.50985,0.54507,0.98573,0.87489,0.72727,0.77574,0.562,0.90799,1.18993,1.34463,0.0006536,0.0006536,0.0006536
36,1896.26,0.47119,0.50479,1.01454,0.87357,0.72727,0.75511,0.53671,0.87891,1.21343,1.34881,0.000614,0.000614,0.000614
